,Season,Lg,Team,W,L,W/L%,Finish,SRS,Unnamed: 8,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Unnamed: 15,Playoffs,Coaches,Top WS
11,2008-09,NBA,Sacramento Kings,17,65,.207,5th of 5,-8.60,,94.2,2.5,105.5,-2.8,114.7,6.4,,,"R. Theus (6-18), K. Natt (11-47)",K. Martin (4.7)
12,2007-08,NBA,Sacramento Kings,38,44,.463,4th of 5,-1.86,,94.7,2.3,107.5,0.0,109.9,2.4,,,R. Theus (38-44),K. Martin (8.4)
13,2006-07,NBA,Sacramento Kings,33,49,.402,5th of 5,-1.35,,94.8,2.9,106.2,-0.3,108.0,1.5,,,E. Musselman (33-49),K. Martin (10.2)
14,2005-06,NBA,Sacramento Kings*,44,38,.537,4th of 5,1.61,,91.9,1.4,106.7,0.5,105.0,-1.2,,Lost W. Conf. 1st Rnd.,R. Adelman (44-38),B. Miller (9.1)
15,2004-05,NBA,Sacramento Kings*,50,32,.610,2nd of 5,2.56,,93.0,2.1,110.5,4.4,108.2,2.1,,Lost W. Conf. 1st Rnd.,R. Adelman (50-32),B. Miller (8.6)
16,2003-04,NBA,Sacramento Kings*,55,27,.671,2nd of 7,5.41,,92.8,2.7,110.3,7.4,104.9,2.0,,Lost W. Conf. Semis,R. Adelman (55-27),P. Stojaković (13.5)
17,2002-03,NBA,Sacramento Kings*,59,23,.720,1st of 7,6.68,,95.4,4.4,105.9,2.3,99.1,-4.5,,Lost W. Conf. Semis,R. Adelman (59-23),P. Stojaković (10.1)
18,2001-02,NBA,Sacramento Kings*,61,21,.744,1st of 7,7.61,,95.6,4.9,109.0,4.5,101.1,-3.4,,Lost W. Conf. Finals,R. Adelman (61-21),P. Stojaković (9.9)
19,2000-01,NBA,Sacramento Kings*,55,27,.671,2nd of 7,6.07,,94.4,3.1,105.6,2.6,99.6,-3.4,,Lost W. Conf. Semis,R. Adelman (55-27),C. Webber (11.0)
20,1999-00,NBA,Sacramento Kings*,44,38,.537,5th of 7,3.04,,99.3,6.2,105.0,0.9,102.1,-2.0,,Lost W. Conf. 1st Rnd.,R. Adelman (44-38),C. Webber (10.7)
21,1998-99,NBA,Sacramento Kings*,27,23,.540,4th of 7,-0.89,,96.0,7.1,102.7,0.5,103.1,0.9,,Lost W. Conf. 1st Rnd.,R. Adelman (27-23),V. Divac (5.2)
22,1997-98,NBA,Sacramento Kings,27,55,.329,5th of 7,-5.83,,92.1,1.8,100.8,-4.2,106.9,1.9,,,E. Jordan (27-55),M. Richmond (7.9)
23,1996-97,NBA,Sacramento Kings,34,48,.415,6th of 7,-3.64,,91.0,0.9,105.0,-1.7,108.7,2.0,,,"G. St. Jean (28-39), E. Jordan (6-9)",M. Richmond (10.8)
24,1995-96,NBA,Sacramento Kings*,39,43,.476,5th of 7,-2.62,,93.4,1.6,106.2,-1.4,109.1,1.5,,Lost W. Conf. 1st Rnd.,G. St. Jean (39-43),M. Richmond (9.3)
25,1994-95,NBA,Sacramento Kings,39,43,.476,5th of 7,-0.74,,92.3,-0.6,105.5,-2.8,106.5,-1.8,,,G. St. Jean (39-43),M. Richmond (8.0)
26,1993-94,NBA,Sacramento Kings,28,54,.341,6th of 7,-5.32,,97.5,2.4,103.3,-3.0,109.2,2.9,,,G. St. Jean (28-54),M. Richmond (6.4)
27,1992-93,NBA,Sacramento Kings,25,57,.305,7th of 7,-3.00,,100.8,4.0,106.5,-1.5,109.6,1.6,,,G. St. Jean (25-57),W. Tisdale (4.5)
28,1991-92,NBA,Sacramento Kings,29,53,.354,7th of 7,-5.63,,99.6,3.0,103.9,-4.3,109.9,1.7,,,"D. Motta (7-18), R. Hughes (22-35)",M. Richmond (4.9)
29,1990-91,NBA,Sacramento Kings,25,57,.305,7th of 7,-6.27,,94.7,-3.1,102.0,-5.9,109.1,1.2,,,D. Motta (25-57),A. Carr (5.4)
30,1989-90,NBA,Sacramento Kings,23,59,.280,7th of 7,-4.41,,96.7,-1.6,104.8,-3.3,110.0,1.9,,,"J. Reynolds (7-21), D. Motta (16-38)",R. McCray (7.9)
31,1988-89,NBA,Sacramento Kings,27,55,.329,6th of 7,-5.35,,100.5,-0.1,104.5,-3.3,110.0,2.2,,,J. Reynolds (27-55),H. Pressley (4.8)
32,1987-88,NBA,Sacramento Kings,24,58,.293,6th of 6,-5.84,,100.9,1.3,106.5,-1.5,112.1,4.1,,,"B. Russell (17-41), J. Reynolds (7-17)",O. Thorpe (8.1)
33,1986-87,NBA,Sacramento Kings,29,53,.354,5th of 6,-3.34,,101.3,0.5,108.9,0.6,112.1,3.8,,,"P. Johnson (14-32), J. Reynolds (15-21)",O. Thorpe (9.0)
34,1985-86,NBA,Sacramento Kings*,37,45,.451,5th of 6,-3.19,,102.0,-0.1,106.2,-1.0,109.2,2.0,,Lost W. Conf. 1st Rnd.,P. Johnson (37-45),R. Theus (6.4)
35,1984-85,NBA,Kansas City Kings,31,51,.378,6th of 6,-2.71,,104.4,2.3,109.5,1.6,112.1,4.2,,,"J. McKinney (1-8), P. Johnson (30-43)",L. Thompson (5.3)
36,1983-84,NBA,Kansas City Kings*,38,44,.463,4th of 6,-1.62,,102.9,1.5,106.5,-1.1,108.0,0.4,,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (38-44),E. Johnson (5.6)
37,1982-83,NBA,Kansas City Kings,45,37,.549,3rd of 6,1.04,,106.6,3.5,106.2,1.5,104.9,0.2,,,C. Fitzsimmons (45-37),M. Woodson (7.8)
38,1981-82,NBA,Kansas City Kings,30,52,.366,4th of 6,-3.25,,101.8,0.9,104.2,-2.7,107.2,0.3,,,C. Fitzsimmons (30-52),M. Woodson (5.3)
39,1980-81,NBA,Kansas City Kings*,40,42,.488,2nd of 6,-0.49,,101.3,-0.5,104.7,-0.8,104.7,-0.8,,Lost W. Conf. Finals,C. Fitzsimmons (40-42),R. King (8.3)
40,1979-80,NBA,Kansas City Kings*,47,35,.573,2nd of 5,2.82,,103.2,0.1,104.0,-1.3,101.0,-4.3,,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (47-35),O. Birdsong (8.6)
41,1978-79,NBA,Kansas City Kings*,48,34,.585,1st of 5,2.73,,107.3,1.5,104.5,0.7,101.9,-1.9,,Lost W. Conf. Semis,C. Fitzsimmons (48-34),O. Birdsong (8.8)
42,1977-78,NBA,Kansas City Kings,31,51,.378,5th of 6,-1.76,,108.2,1.5,100.5,-0.4,102.2,1.3,,,"P. Johnson (13-24), L. Staverman (18-27)",S. Wedman (7.8)
